occurrence_key,species,lat,lon,image_url,license,width,height,image_path
4507681255,Danaus plexippus,25.178537,-80.874248,https://inaturalist-open-data.s3.amazonaws.com/photos/343995201/original.jpeg,http://creativecommons.org/publicdomain/zero/1.0/,922,1033,../data/images_licensed\4507681255_b0e6a52dd2.jpeg
4507681246,Vanessa atalanta,37.787152,-122.47316,https://inaturalist-open-data.s3.amazonaws.com/photos/343991660/original.jpeg,http://creativecommons.org/licenses/by-nc/4.0/,2048,1365,../data/images_licensed\4507681246_d6350b0755.jpeg
4507682186,Vanessa cardui,30.453028,-97.74495,https://inaturalist-open-data.s3.amazonaws.com/photos/343921725/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,1536,2048,../data/images_licensed\4507682186_9cf6253cda.jpg
4507688296,Mestra amymone,26.18437,-97.664003,https://inaturalist-open-data.s3.amazonaws.com/photos/343983681/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,1152,2048,../data/images_licensed\4507688296_85b2e7f620.jpg
4507682186,Vanessa cardui,30.453028,-97.74495,https://inaturalist-open-data.s3.amazonaws.com/photos/343921712/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,1536,2048,../data/images_licensed\4507682186_1777b1869b.jpg
4507690186,Marpesia petreus,26.778005,-80.41801,https://inaturalist-open-data.s3.amazonaws.com/photos/343908018/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,1536,2048,../data/images_licensed\4507690186_85befe64b8.jpg
4507682218,Danaus plexippus,37.48382,-122.444215,https://inaturalist-open-data.s3.amazonaws.com/photos/343945686/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,1536,2048,../data/images_licensed\4507682218_ff0079d3d2.jpg
4507693200,Dione vanillae,29.445578,-95.069747,https://inaturalist-open-data.s3.amazonaws.com/photos/343946197/original.jpeg,http://creativecommons.org/licenses/by-nc/4.0/,2048,1436,../data/images_licensed\4507693200_53ab763b26.jpeg
4507691250,Danaus plexippus,37.411589,-121.998065,https://inaturalist-open-data.s3.amazonaws.com/photos/344144729/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,1536,2048,../data/images_licensed\4507691250_2a341f9c99.jpg
4507693200,Dione vanillae,29.445578,-95.069747,https://inaturalist-open-data.s3.amazonaws.com/photos/343946187/original.jpeg,http://creativecommons.org/licenses/by-nc/4.0/,2048,1634,../data/images_licensed\4507693200_04dda7b93b.jpeg
4507694143,Dione vanillae,29.445802,-95.070133,https://inaturalist-open-data.s3.amazonaws.com/photos/343946188/original.jpeg,http://creativecommons.org/licenses/by-nc/4.0/,2048,1419,../data/images_licensed\4507694143_e865d9c1f2.jpeg
4507687237,Vanessa cardui,30.849912,-98.133653,https://inaturalist-open-data.s3.amazonaws.com/photos/343987616/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,1536,2048,../data/images_licensed\4507687237_a4a54e58d5.jpg
